"Report_Name","Journal Article Requests"
"Report_ID","IR_A1"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Requests"
"Report_Filters","Data_Type=Journal|Article; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Item","Publisher","Publisher_ID","Platform","Authors","Publication_Date","Article_Version","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Parent_Title","Parent_Data_Type","Parent_DOI","Parent_Proprietary_ID","Parent_ISBN","Parent_Print_ISSN","Parent_Online_ISSN","Parent_URI","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Q-SAvESS: a methodology to help solvent selection for pharmaceutical manufacture at the early process development stage","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6gc02440h","","","1463-9262","1463-9270","","Green Chemistry","Journal","10.1039/1463-9270/1999","","","1463-9262","1463-9270","","Total_Item_Requests","3","0","0","0","0","3"
"Hydrogenation of levoglucosenone to renewable chemicals","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6gc03028a","","","1463-9262","1463-9270","","Green Chemistry","Journal","10.1039/1463-9270/1999","","","1463-9262","1463-9270","","Total_Item_Requests","0","0","0","0","0","0"
"Porous silica-encapsulated and magnetically recoverable Rh NPs: a highly efficient, stable and green catalyst for catalytic transfer hydrogenation with “slow-release” of stoichiometric hydrazine in water","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7gc00986k","","","1463-9262","1463-9270","","Green Chemistry","Journal","10.1039/1463-9270/1999","","","1463-9262","1463-9270","","Total_Item_Requests","1","0","0","0","0","1"
"Stabilising Ni catalysts for the dehydration–decarboxylation–hydrogenation of citric acid to methylsuccinic acid","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7gc01773a","","","1463-9262","1463-9270","","Green Chemistry","Journal","10.1039/1463-9270/1999","","","1463-9262","1463-9270","","Total_Item_Requests","0","0","0","0","0","0"
"Synthesis of isosorbide: an overview of challenging reactions","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7gc01912b","","","1463-9262","1463-9270","","Green Chemistry","Journal","10.1039/1463-9270/1999","","","1463-9262","1463-9270","","Total_Item_Requests","0","0","0","0","0","0"
"Low energy recycling of ionic liquids via freeze crystallization during cellulose spinning","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7gc02880f","","","1463-9262","1463-9270","","Green Chemistry","Journal","10.1039/1463-9270/1999","","","1463-9262","1463-9270","","Total_Item_Requests","1","0","0","0","0","1"
"The synergic effects at the molecular level in CoS2 for selective hydrogenation of nitroarenes","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7gc03122j","","","1463-9262","1463-9270","","Green Chemistry","Journal","10.1039/1463-9270/1999","","","1463-9262","1463-9270","","Total_Item_Requests","1","0","0","0","0","1"
"Electrochemical synthesis of 1,2,4-triazole-fused heterocycles","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7gc03739b","","","1463-9262","1463-9270","","Green Chemistry","Journal","10.1039/1463-9270/1999","","","1463-9262","1463-9270","","Total_Item_Requests","0","0","0","0","0","0"
"Accelerated decarbonylation of 5-hydroxymethylfurfural in compressed carbon dioxide: a facile approach","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8gc00174j","","","1463-9262","1463-9270","","Green Chemistry","Journal","10.1039/1463-9270/1999","","","1463-9262","1463-9270","","Total_Item_Requests","0","0","0","0","0","0"
"Hydrodeoxygenation of biomass-derived oxygenates over metal carbides: from model surfaces to powder catalysts","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8gc00239h","","","1463-9262","1463-9270","","Green Chemistry","Journal","10.1039/1463-9270/1999","","","1463-9262","1463-9270","","Total_Item_Requests","1","0","0","0","0","1"
"Enhanced photostability of cuprous oxide by lignin films on glassy carbon electrodes in the transformation of carbon dioxide","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8gc00365c","","","1463-9262","1463-9270","","Green Chemistry","Journal","10.1039/1463-9270/1999","","","1463-9262","1463-9270","","Total_Item_Requests","0","0","0","0","0","0"
"Heterogeneous non-mercury catalysts for acetylene hydrochlorination: progress, challenges, and opportunities","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8gc00768c","","","1463-9262","1463-9270","","Green Chemistry","Journal","10.1039/1463-9270/1999","","","1463-9262","1463-9270","","Total_Item_Requests","2","0","0","0","0","2"
"Radiochemistry","","","rsc.org","Royal Society of Chemistry","2010","","10.1039/b920669h","","","0260-1818","1460-4760","","Annual Reports Section A (Inorganic Chemistry)","Journal","10.1039/1460-4760/1979","","","0260-1818","1460-4760","","Total_Item_Requests","1","0","0","0","0","1"
"Determination of Vanadium, Rhodium and Platinum in Automotive  Catalytic Converters Using Inductively Coupled Plasma Mass Spectrometry  With Spark Ablation","","","rsc.org","Royal Society of Chemistry","1997","","10.1039/a605142a","","","0267-9477","1364-5544","","Journal of Analytical Atomic Spectrometry","Journal","10.1039/1364-5544/1986","","","0267-9477","1364-5544","","Total_Item_Requests","0","0","0","0","0","0"
"Matrix effects of carbon and bromine in inductively coupled plasma optical emission spectrometry","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ja00237k","","","0267-9477","1364-5544","","Journal of Analytical Atomic Spectrometry","Journal","10.1039/1364-5544/1986","","","0267-9477","1364-5544","","Total_Item_Requests","1","0","0","0","0","1"
"Surface and bulk characterisation of titanium–oxo clusters and nanosized titania particles through 17O solid state NMR","","","rsc.org","Royal Society of Chemistry","1999","","10.1039/a903714d","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"Preparation and structure of copper nanoparticle/poly(acrylic acid) composite films","","","rsc.org","Royal Society of Chemistry","2000","","10.1039/b003899g","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"Raman spectroscopy during catalytic operations with on-line activity measurement (operando spectroscopy): a method for understanding the active centres of cations supported on porous materials","","","rsc.org","Royal Society of Chemistry","2002","","10.1039/b204494c","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","0","0","0","0","0","0"
"A thermogravimetric determination of dispersed and bulk-like barium species supported on ?-alumina","","","rsc.org","Royal Society of Chemistry","2005","","10.1039/b416144k","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"Thermochemical insights into refractory ceramic materials based on oxides with large tetravalent cations","","","rsc.org","Royal Society of Chemistry","2005","","10.1039/b417143h","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"The synthesis and characterisation of Cu2MX4(M = W or Mo; X = S, Se or S/Se) materials prepared by a solvothermal method","","","rsc.org","Royal Society of Chemistry","2005","","10.1039/b507129a","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"CN  x   nanotubes as catalyst support to immobilize platinum nanoparticles for methanol oxidation","","","rsc.org","Royal Society of Chemistry","2008","","10.1039/b718283j","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"“Hairy Foam”: carbon nanofibers grown on solid carbon foam. A fully accessible, high surface area, graphitic catalyst support","","","rsc.org","Royal Society of Chemistry","2008","","10.1039/b718673h","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"Large oriented mesoporous self-supporting Ni–Al oxide films derived from layered double hydroxide precursors","","","rsc.org","Royal Society of Chemistry","2008","","10.1039/b801620h","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"Spin-based quantum computers made by chemistry: hows and whys","","","rsc.org","Royal Society of Chemistry","2009","","10.1039/b811778k","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"MOF–graphite oxide nanocomposites: surface characterization and evaluation as adsorbents of ammonia","","","rsc.org","Royal Society of Chemistry","2009","","10.1039/b908862h","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"Stabilization of platinum nanoparticle electrocatalysts for oxygen reduction using poly(diallyldimethylammonium chloride)","","","rsc.org","Royal Society of Chemistry","2009","","10.1039/b912104h","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"Reduction studies and evaluation of surface modified A-site deficient La-doped SrTiO3 as anode material for IT-SOFCs","","","rsc.org","Royal Society of Chemistry","2009","","10.1039/b912305a","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","0","0","0","0","0","0"
"Microwave assisted one-step green synthesis of cell-permeable multicolor photoluminescent carbon dots without surface passivation reagents","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c0jm02963g","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","2","0","0","0","0","2"
"A citrate sol–gel method to synthesize Li2ZrO3 nanocrystals with improved CO2 capture properties","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c0jm03243c","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","0","0","0","0","0","0"
"Solution phase synthesis of carbon quantum dots as sensitizers for nanocrystalline TiO2 solar cells","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c1jm14112k","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"Carbon quantum dots embedded with mesoporous hematite nanospheres as efficient visible light-active photocatalysts","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2jm16931b","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","2","0","0","0","0","2"
"Carbon quantum dots/Ag3PO4 complex photocatalysts with enhanced photocatalytic activity and stability under visible light","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2jm30703k","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"Observation of the highest Mn3+/Mn2+ redox potential of 4.45 V in a Li2MnP2O7 pyrophosphate cathode","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2jm35260e","","","0959-9428","1364-5501","","Journal of Materials Chemistry","Journal","10.1039/1364-5501/1991","","","0959-9428","1364-5501","","Total_Item_Requests","1","0","0","0","0","1"
"Enabling precision manufacturing of active pharmaceutical ingredients: workflow for seeded cooling continuous crystallisations","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7me00096k","","","","2058-9689","","Molecular Systems Design & Engineering","Journal","10.1039/2058-9689/2016","","","","2058-9689","","Total_Item_Requests","2","0","0","0","0","2"
"The evolution of ‘sol–gel’ chemistry as a technique for materials synthesis","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c5mh00260e","","","2051-6347","2051-6355","","Materials Horizons","Journal","10.1039/2051-6355/2013","","","2051-6347","2051-6355","","Total_Item_Requests","1","0","0","0","0","1"
"Oxygen reduction reaction catalysts used in microbial fuel cells for energy-efficient wastewater treatment: a review","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6mh00093b","","","2051-6347","2051-6355","","Materials Horizons","Journal","10.1039/2051-6355/2013","","","2051-6347","2051-6355","","Total_Item_Requests","0","0","0","0","0","0"
"Recent advances in air electrodes for Zn–air batteries: electrocatalysis and structural design","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7mh00358g","","","2051-6347","2051-6355","","Materials Horizons","Journal","10.1039/2051-6355/2013","","","2051-6347","2051-6355","","Total_Item_Requests","1","0","0","0","0","1"
"Correction: Recent advances in air electrodes for Zn–air batteries: electrocatalysis and structural design","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8mh90010h","","","2051-6347","2051-6355","","Materials Horizons","Journal","10.1039/2051-6355/2013","","","2051-6347","2051-6355","","Total_Item_Requests","0","0","0","0","0","0"
"The biological chemistry of the transition metal “transportome” of Cupriavidus metallidurans","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c5mt00320b","","","1756-5901","1756-591X","","Metallomics","Journal","10.1039/1756-591X/2009","","","1756-5901","1756-591X","","Total_Item_Requests","1","0","0","0","0","1"
"Characterization of alumina surfaces by fluorescence spectroscopy. Part 1. Grafting a pyrene derivative on ?- and d-alumina supports","","","rsc.org","Royal Society of Chemistry","2002","","10.1039/b109144c","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","1","0","0","0","0","1"
"Versatile coordination patterns in the reaction system of N-benzoyl-N'-(2-pyridyl)thiourea with CuCl2. Their reaction conditions, systematic isolation and crystal structures","","","rsc.org","Royal Society of Chemistry","2002","","10.1039/b206257g","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","2","0","0","0","0","2"
"Palladium nanoparticles obtained from palladium salts and tributylamine in molten tetrabutylammonium bromide: their use for hydrogenolysis-free hydrogenation of olefins","","","rsc.org","Royal Society of Chemistry","2004","","10.1039/b409604e","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","0","0","0","0","0","0"
"Fluorescent carbon nanoparticles: electrochemical synthesis and their pH sensitive photoluminescence properties","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c1nj20575g","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","1","0","0","0","0","1"
"One-step ultrasonic synthesis of fluorescent N-doped carbon dots from glucose and their visible-light sensitive photocatalytic ability","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2nj20942j","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","1","0","0","0","0","1"
"Synthesis of high surface area mixed metal oxide from the NiMgAl LDH precursor for nitro-aldol condensation reaction","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4nj01332h","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","0","0","0","0","0","0"
"Silver modified carbon quantum dots for solvent-free selective oxidation of cyclohexane","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4nj02256d","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","1","0","0","0","0","1"
"Study of the performance of imidazolium-derived cations as structure directing agents in the synthesis of zeolites in fluoride media","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6nj00444j","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","0","0","0","0","0","0"
"Transcritical CO2 extraction of electrolytes for lithium-ion batteries: optimization of the recycling process and quality–quantity variation","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7nj00771j","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","0","0","0","0","0","0"
"Fluorescent organic nanoparticles with enhanced fluorescence by self-aggregation and their application for detection of Fe3+ ions","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7nj04343k","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","0","0","0","0","0","0"
"Different self-assemblies and absorption–emission properties of the picrate salts of aromatic amine or heterocycle linked oximes","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7nj04349j","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","0","0","0","0","0","0"
"Hollow cube-like CuS derived from Cu2O crystals for the highly efficient elimination of electromagnetic pollution","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8nj00488a","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","0","0","0","0","0","0"
"Blue flower color development by anthocyanins: from chemical structure to cell physiology","","","rsc.org","Royal Society of Chemistry","2009","","10.1039/b800165k","","","0265-0568","1460-4752","","Natural Product Reports","Journal","10.1039/1460-4752/1984","","","0265-0568","1460-4752","","Total_Item_Requests","2","0","0","0","0","2"
"Germanium-catalyzed hierarchical Al2O3 and SiO2 nanowire bunch arrays","","","rsc.org","Royal Society of Chemistry","2009","","10.1039/b9nr00040b","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","0","1"
"One-step sonochemical synthesis of a graphene oxide–manganese oxide nanocomposite for catalytic glycolysis of poly(ethylene terephthalate)","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2nr30168g","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","0","0","0","0","0","0"
"Percolation threshold of graphene nanosheets as conductive additives in Li4Ti5O12 anodes of Li-ion batteries","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c2nr33099g","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","0","1"
"Near-infrared light controlled photocatalytic activity of carbon quantum dots for highly selective oxidation reaction","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3nr00092c","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","0","1"
"A high performance hybrid capacitor with Li2CoPO4F cathode and activated carbon anode","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3nr00760j","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","0","1"
"Multifunctional Co0.85Se/graphene hybrid nanosheets: controlled synthesis and enhanced performances for the oxygen reduction reaction and decomposition of hydrazine hydrate","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3nr05509d","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","0","1"
"Femtosecond laser ablation of highly oriented pyrolytic graphite: a green route for large-scale production of porous graphene and graphene quantum dots","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3nr05572h","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","0","1"
"Focusing on luminescent graphene quantum dots: current status and future perspectives","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3nr33849e","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","0","1"
"Bottom-up electrochemical preparation of solid-state carbon nanodots directly from nitriles/ionic liquids using carbon-free electrodes and the applications in specific ferric ion detection and cell imaging","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6nr00023a","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","0","1"
"An In situ TEM study of the surface oxidation of palladium nanocrystals assisted by electron irradiation","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6nr08763a","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","0","1"
"Size dependent targeted delivery of gold nanoparticles modified with the IL-6R-specific aptamer AIR-3A to IL-6R-carrying cells","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7nr02973j","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","0","0","0","0","0","0"
"Bismuth ferrite dielectric nanoparticles excited at telecom wavelengths as multicolor sources by second, third, and fourth harmonic generation","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7nr08102b","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","0","0","0","0","0","0"
"High-temperature superconductivity at the lanthanum cuprate/lanthanum–strontium nickelate interface","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8nr00885j","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","0","0","0","0","0","0"
"Nanoimprint lithography of nanoporous carbon materials for micro-supercapacitor architectures","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8nr01535j","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","0","0","0","0","0","0"
"Quo vadis, unimolecular electronics?","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8nr01905c","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","0","1"
"From central to planar chirality, the first example of atropenantioselective cycloetherification","","","rsc.org","Royal Society of Chemistry","2003","","10.1039/b208905j","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","0","1"
"Nitroreductase from Salmonella typhimurium: characterization and catalytic activity","","","rsc.org","Royal Society of Chemistry","2010","","10.1039/b926274a","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","0","1"
"The activation strain model of chemical reactivity","","","rsc.org","Royal Society of Chemistry","2010","","10.1039/b926828f","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","0","1"
"Asymmetric transfer hydrogenation of ketones catalyzed by rhodium complexes containing amino acid triazole ligands","","","rsc.org","Royal Society of Chemistry","2010","","10.1039/c0ob00400f","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","0","1"
"On the enantioselectivity of aziridination of styrene catalysed by copper triflate and copper-exchanged zeolite Y: consequences of the phase behaviour of enantiomeric mixtures of N-arene-sulfonyl-2-phenylaziridines","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c0ob00724b","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","0","0","0","0","0","0"
"Recent advances in biocompatible nanocarriers for delivery of chemotherapeutic cargoes towards cancer therapy","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4ob00164h","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","0","1"
"Recent advances in catalytic C–N bond formation: a comparison of cascade hydroaminomethylation and reductive amination reactions with the corresponding hydroamidomethylation and reductive amidation reactions","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4ob00620h","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","0","1"
"Synthesis of aromatic 13C/2H-a-ketoacid precursors to be used in selective phenylalanine and tyrosine protein labelling","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4ob01129e","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","0","1"
"Iridium-catalyzed C–H borylation of pyridines","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4ob01565g","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","0","1"
"“Off-on” aggregation-based fluorescent sensor for the detection of chloride in water","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4ob02409e","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","0","0","0","0","0","0"
"In tandem or alone: a remarkably selective transfer hydrogenation of alkenes catalyzed by ruthenium olefin metathesis catalysts","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4ob02480j","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","0","1"
"Chemoselective and stereoselective lithium carbenoid mediated cyclopropanation of acyclic allylic alcohols","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c5ob02617b","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","0","1"
"Synthesis of 1,1,6,6-tetramethylphosphajulolidine?","","","rsc.org","Royal Society of Chemistry","2000","","10.1039/b004525j","","","1364-5463","1472-7781","","Journal of the Chemical Society, Perkin Transactions 1","Journal","","","","1364-5463","1472-7781","","Total_Item_Requests","1","0","0","0","0","1"
"Perkin 1 Abstracts: Biocatalysis in Organic Synthesis","","","rsc.org","Royal Society of Chemistry","2002","","10.1039/b211566m","","","1364-5463","1472-7781","","Journal of the Chemical Society, Perkin Transactions 1","Journal","","","","1364-5463","1472-7781","","Total_Item_Requests","0","0","0","0","0","0"
"Thermo-responsive cellulose-based architectures: tailoring LCST using poly(ethylene glycol) methacrylates","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c0py00417k","","","1759-9954","1759-9962","","Polymer Chemistry","Journal","10.1039/1759-9962/2010","","","1759-9954","1759-9962","","Total_Item_Requests","1","0","0","0","0","1"
"Copper(i)-catalyzed enantioselective hydroboration of cyclopropenes: facile synthesis of optically active cyclopropylboronates","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4qo00157e","","","","2052-4129","","Organic Chemistry Frontiers","Journal","10.1039/2052-4129/2014","","","","2052-4129","","Total_Item_Requests","1","0","0","0","0","1"
